"CO_SEQ_ID";"NU_VTMID";"DT_VTMIDDT";"CO_VTMIDPREV";"ST_INVALID";"NO_NM";"NO_ABBREVNM";"AU_AUDIT_CREATE_DATETIME";"AU_AUDIT_CHANGE_DATETIME";"AU_AUDIT_CREATE_USERNAME";"AU_AUDIT_CHANGE_USERNAME";"NU_VERSION";"ST_REGISTRO_ATIVO";"ST_CHANGE_APPROVE"
"790673";"@brasil1176337276";;;;"Fosfato de Cálcio + Colecalciferol + Cianocobalamina";"Fosfato de Cálcio + Colecalciferol + Cianocobalamina";"1688755621";"1688755621";"65";"1";;"ACTIVE";"APPROVED"
"790674";"@brasil3993703023";;;;"Chamomilla Recutita";"Chamomilla Recutita";"1688757409";"1688757409";"65";"1";;"ACTIVE";"APPROVED"
"790675";"@brasil2843642276";;;;"Symphytum Officinale";"Symphytum Officinale";"1689004384";"1689004384";"65";"1";;"ACTIVE";"APPROVED"
"790676";"@brasil8911736510";;;;"Tafenoquina";"Tafenoquina";"1689004539";"1689004539";"65";"1";;"ACTIVE";"APPROVED"
"790677";"@brasil1330880244";;;;"Timolol + Brimonidina + Bimatoprosta";"Timolol + Brimonidina + Bimatoprosta";"1689006481";"1689006481";"65";"1";;"ACTIVE";"APPROVED"
"790678";"@brasil6176833508";;;;"Trifluridina + Tipiracila";"Trifluridina + Tipiracila";"1689013686";"1689013686";"65";"1";;"ACTIVE";"APPROVED"
"790679";"@brasil2434026249";;;;"Trientina";"Trientina";"1689014193";"1689014193";"65";"1";;"ACTIVE";"APPROVED"
"790680";"@brasil7968199820";;;;"Upadacitinibe";"Upadacitinibe";"1689015743";"1689015743";"65";"1";;"ACTIVE";"APPROVED"
"790681";"@brasil4708471024";;;;"Venetoclax";"Venetoclax";"1689017765";"1689017765";"65";"1";;"ACTIVE";"APPROVED"
"790682";"@brasil9098316953";;;;"Mecobalamina";"Mecobalamina";"1689019460";"1689019460";"65";"1";;"ACTIVE";"APPROVED"
"790683";"@brasil3776074688";;;;"Vonoprazana";"Vonoprazana";"1689019949";"1689019949";"65";"1";;"ACTIVE";"APPROVED"
"790684";"@brasil6503484715";;;;"Barbatimão";"Barbatimão";"1689077478";"1689077515";"65";"65";;"ACTIVE";"PENDING"
"790685";"@brasil8709694596";;;;"Dronabinol + Canabidiol";;"1689079381";"1689079381";"65";"1";;"ACTIVE";"APPROVED"
"790686";"@brasil4845817280";;;;"Plantago Ovata + Plantago Psyllium + Senna Alexandrina";"Plantago Ovata + Plantago Psyllium +  Senna Alexandrina";"1689080691";"1689080964";"65";"1";;"ACTIVE";"APPROVED"
"790687";"@brasil6797667949";;;;"Plantago Ovata Forssk";"Plantago Ovata Forssk";"1689081745";"1689081745";"65";"1";;"ACTIVE";"APPROVED"
"790688";"@brasil2398899713";;;;"Schinus Terebinthifolia";"Schinus Terebinthifolia";"1689082755";"1689082755";"65";"1";;"ACTIVE";"APPROVED"
"790689";"@brasil2165947093";;;;"Senna Alexandrina + Cassia Fistula";"Senna Alexandrina + Cassia Fistula";"1689083107";"1689083107";"65";"1";;"ACTIVE";"APPROVED"
"790690";"@brasil6318302930";;;;"Lidocaína + Fenilefrina";"Lidocaína + Fenilefrina";"1689168855";"1689168855";"65";"1";;"ACTIVE";"APPROVED"
"790691";"@brasil9364467148";;;;"Perindopril Arginina + Indapamida";"Perindopril Arginina + Indapamida";"1689172731";"1689172731";"65";"1";;"ACTIVE";"APPROVED"
"790692";"@brasil9612066847";;;;"Perindopril Arginina + Indapamida + Anlodipino";"Perindopril Arginina + Indapamida + Anlodipino";"1689172971";"1689172971";"65";"1";;"ACTIVE";"APPROVED"
"790693";"@brasil5178913138";;;;"Salicilato de Metila + Cânfora + Mentol + Arnica";"Salicilato de Metila +  Cânfora + Mentol  + Arnica";"1689173914";"1689173914";"65";"1";;"ACTIVE";"APPROVED"
"790694";"@brasil1053142239";;;;"Delamanida";"Delamanida";"1689189389";"1689189389";"65";"1";;"ACTIVE";"APPROVED"
"790695";"@brasil5363592994";;;;"Doxepina";"Doxepina";"1689192352";"1689192352";"65";"1";;"ACTIVE";"APPROVED"
"790696";"@brasil5941633810";;;;"Felbamato";"Felbamato";"1689193468";"1689193468";"65";"1";;"ACTIVE";"APPROVED"
"790697";"@brasil5347068688";;;;"Galcanezumabe";"Galcanezumabe";"1689195244";"1689195244";"65";"1";;"ACTIVE";"APPROVED"
"790698";"@brasil6120051762";;;;"Lisado Bacteriano";"Lisado Bacteriano";"1690311611";"1690311611";"65";"65";;"ACTIVE";"PENDING"
"790699";"@brasil0863381598";;;;"Olmesartana Medoxomila + Hidroclorotiazida + Anlodipino";"Olmesartana Medoxomila + Hidroclorotiazida + Anlodipino";"1691685833";"1691685833";"65";"65";;"ACTIVE";"PENDING"
"790700";"@brasil9791824561";;;;"Plantago Ovata + Senna Alexandrina";"Plantago Ovata + Senna Alexandrina";"1691756578";"1691756578";"65";"65";;"ACTIVE";"PENDING"
"790701";"@brasil3768589937";;;;"Pertuzumabe + Trastuzumabe";"Pertuzumabe + Trastuzumabe";"1692112623";"1692112623";"65";"65";;"ACTIVE";"PENDING"
"790702";"@brasil3877333960";;;;"Ibandronato de Sódio Monoidratado";"Ibandronato de Sódio Monoidratado";"1693499640";"1693499640";"65";"65";;"ACTIVE";"PENDING"
"790703";"@brasil3240203911";;;;"Perindopril sal de terc-butilamina";"Perindopril sal de terc-butilamina";"1693948316";"1693948316";"65";"65";;"ACTIVE";"PENDING"
"790704";"@brasil4855317779";;;;"Esomeprazol + Claritromicina + Amoxicilina";"Esomeprazol + Claritromicina + Amoxicilina";"1695129448";"1695129448";"65";"65";;"ACTIVE";"PENDING"
"790705";"@brasil9606311617";;;;"Maleato de Clorfeniramina + Dipirona + Cafeína";"Maleato de Clorfeniramina + Dipirona + Cafeína";"1695836382";"1695836382";"65";"65";;"ACTIVE";"PENDING"
"790706";"@brasil6847156746";;;;"Maleato de Clorfeniramina + Dipirona";"Maleato de Clorfeniramina + Dipirona";"1695836992";"1695836992";"65";"65";;"ACTIVE";"PENDING"
"790707";"@brasil1761781327";;;;"Cálcio elementar";"Cálcio elementar";"1699115436";"1699115436";"65";"65";;"ACTIVE";"PENDING"
"790708";"@brasil15086304455";;;;"ABIES NIGRA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790709";"@brasil18484590283";;;;"ABRUS PRECATORIUS";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790710";"@brasil17164038359";;;;"ÁCAROS";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790711";"@brasil10366421257";;;;"ACETATO DE ABIRATERONA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790712";"@brasil10339991514";;;;"ACETATO DE ATOSIBANA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790713";"@brasil10600694110";;;;"ACETATO DE BAZEDOXIFENO";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790714";"@brasil11983496314";;;;"ACETATO DE BETAMETASONA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790715";"@brasil18115399550";;;;"ACETATO DE CASPOFUNGINA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790716";"@brasil14626509121";;;;"ACETATO DE CETRORRELIX";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790717";"@brasil18786347263";;;;"ACETATO DE CIPROTERONA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790718";"@brasil10052209262";;;;"ACETATO DE CLORMADINONA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790719";"@brasil13902004829";;;;"ACETATO DE DEGARELIX";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790720";"@brasil19353396666";;;;"ACETATO DE DESMOPRESSINA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790721";"@brasil15060969156";;;;"ACETATO DE DEXAMETASONA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790722";"@brasil17244656090";;;;"ACETATO DE DEXTROALFATOCOFEROL";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790723";"@brasil11040373295";;;;"ACETATO DE FLUDROCORTISONA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
"790724";"@brasil13467898510";;;;"ACETATO DE FLUORMETOLONA";;"1699883339";"1699883339";"1";"1";;"ACTIVE";"PENDING"
