id	effectiveTime	active	moduleId	refsetId	referencedComponentId	name	
cda03e2b-9d03-434f-ad60-751c96915a43		1	900000000000207008	TMP-qpi9lt	116637007	Fungus Antigen	
420db308-af41-40c9-96d4-9e40f8b3260a		1	900000000000207008	TMP-qpi9lt	116560007	Clostridium perfringens epsilon toxin	
04e87860-0858-46c4-8ac8-322017eb9c08		1	900000000000207008	TMP-qpi9lt	116549003	Organochlorine pesticide	
ba04b709-f67a-4fed-a578-43ddd865f86e		1	900000000000207008	TMP-qpi9lt	115589000	Ethanolamine	
ac371bc4-ced4-4b4f-b29b-ad21c08c1f9d		1	900000000000207008	TMP-qpi9lt	111088007	Latex	
ac27c2c8-8bc7-4b6b-ad4a-0be34ea3c864		1	900000000000207008	TMP-qpi9lt	102264005	Cheese	
4e9c4272-3ee6-4404-8776-4646001f1f06		1	900000000000207008	TMP-qpi9lt	102263004	Eggs (edible)	
769d3387-8291-44ac-9e6b-244e9bd8c1bf		1	900000000000207008	TMP-qpi9lt	102262009	Chocolate	
cd1100d2-be71-44f8-9363-5efa7a9a9374		1	900000000000207008	TMP-qpi9lt	102261002	Strawberry	
e9c524dc-92c7-45cf-928b-f011ec60e55a		1	900000000000207008	TMP-qpi9lt	102259006	Citrus fruit	
1458705c-467f-406b-9232-8d95f720f2fe		1	900000000000207008	TMP-qpi9lt	26159005	Clostridium tetani toxin	
20def635-9568-4670-ab69-2ba61ec4179d		1	900000000000207008	TMP-qpi9lt	23182003	Cereal	
4871e8da-497c-4af1-9c6a-3923240a347a		1	900000000000207008	TMP-qpi9lt	14402002	Wood	
b0a40efd-18c0-4033-8da2-e393fb07531e		1	900000000000207008	TMP-qpi9lt	13652007	Silicone	
d2ecd6ee-a8e7-44d5-ac0e-8e1454894f8e		1	900000000000207008	TMP-qpi9lt	13577000	Nut	
df22e7e8-9470-4406-bfca-cb920f24f146		1	900000000000207008	TMP-qpi9lt	12510000	Eucalyptus oil	
96a49947-b958-44c2-b2e0-45e55995e653		1	900000000000207008	TMP-qpi9lt	12503006	Aluminum	
a6722693-fec6-4299-bb96-fd8f6738c175		1	900000000000207008	TMP-qpi9lt	11894001	Clostridium botulinum toxin	
920236d9-30b8-489f-8e3d-c8fa7595677f		1	900000000000207008	TMP-qpi9lt	11526002	Aspartame	
1a71ae2e-444c-406e-8f7c-9c409941858e		1	900000000000207008	TMP-qpi9lt	2309006	Gold	
cfee7c4b-49ae-4ca2-82b0-9ae16abf0dd1		1	900000000000207008	TMP-qpi9lt	1985008	Vomitus	
e8a3d144-50fc-4a65-b89e-4446e7edaa30		1	900000000000207008	TMP-qpi9lt	601000221108	Bordetella pertussis antigen-containing vaccine product	
dfb28316-86b3-4598-b87f-c62f37caf4fa		1	900000000000207008	TMP-qpi9lt	735047000	Onion	
b38dae99-9cc5-4052-9a7b-6d7a38a3278c		1	900000000000207008	TMP-qpi9lt	735046009	Nutmeg	
3b791a45-0f5f-4296-abfe-2769f0cac5f8		1	900000000000207008	TMP-qpi9lt	735045008	Mushroom	
b4f6cd79-9a6f-44a4-b7a6-029ead18c26e		1	900000000000207008	TMP-qpi9lt	735030001	Garlic	
49690507-7132-4e15-9cd9-4b3750b8d25f		1	900000000000207008	TMP-qpi9lt	735029006	Shellfish	
605a73e7-b846-4183-b7eb-5dc4798ce3c9		1	900000000000207008	TMP-qpi9lt	735006003	Squid	
522b0aea-c76d-4c3b-87dc-eab3b6af9bf8		1	900000000000207008	TMP-qpi9lt	734881000	Tomato	
b83f63f3-17c7-48c5-9bfa-969fc0c154cb		1	900000000000207008	TMP-qpi9lt	726764009	Broad bean	
119e8637-a2d8-4f54-ae17-64df823c987b		1	900000000000207008	TMP-qpi9lt	726759005	Cuttlefish	
25f91058-f204-406b-8aff-2d155471e02c		1	900000000000207008	TMP-qpi9lt	710943006	Cockroach protein	
f737bd98-2481-4bd7-90a7-87377f178da2		1	900000000000207008	TMP-qpi9lt	710183004	Rabbit - meat	
8e4d1c6a-9db5-44e4-a9d9-7b1175d9b4da		1	900000000000207008	TMP-qpi9lt	710179004	Lupine seed	
bb59102d-64f9-43e9-8c9f-731d8fbba4b6		1	900000000000207008	TMP-qpi9lt	707239006	Corynebacterium spp toxin	
ec3d035a-7494-458e-90af-85434fb2cde9		1	900000000000207008	TMP-qpi9lt	430503006	Glutamate	
443cbf4a-1499-4559-b9e4-f17a349d9fd4		1	900000000000207008	TMP-qpi9lt	428601009	Paratyphoid vaccine	
6d038406-199f-44a3-8a4c-dcf168308962		1	900000000000207008	TMP-qpi9lt	425620007	Metal	
55bf4c4c-ce9e-418e-a6b6-a02cbc1d4184		1	900000000000207008	TMP-qpi9lt	421556008	Capsicum - pepper	
aaa8436a-b3f0-4dea-afde-703aab22194e		1	900000000000207008	TMP-qpi9lt	419633007	White paraffin	
