,resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:Ex_Num,attr:ex_name,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:categoria,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
0,Concept,cogumelo,Cogumelos,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Cogumelos,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,cola,Cola,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Cola,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,contato-metal,Contato com Metal,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,cosmetico,Cosméticos,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Cosméticos,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,cravo-india,Cravo-da- Índia,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Cravo-da- Índia,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,crustaceo,Crustáceos,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Crustáceos,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,curry,Curry,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,enxofre,Enxofre,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Enxofre,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,erva-aromatica-especiaria,Ervas aromáticas e especiarias,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Ervas aromáticas e especiarias,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,erva-daninha,Ervas daninhas,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Pólen de ervas daninhas,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,etanolamina,Etanolamina,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Etanolamina,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,farinha,Farinha,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Farinha,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,feijao,Feijão,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Feijões,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,ferro,Ferro,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Ferro e seus derivados,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,figo,Figos,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Figos,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,framboesa,Framboesa,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Framboesa,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,fruta-citrica,Frutas cítricas,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,gengibre,Gengibre,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Gengibre,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,glutamato,Glutamato,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Monoglutamato de Sódio,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,grama,Grama,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Capim,Gramíneas,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,grao,Grão,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Grão,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,grao-soja,Grãos de soja,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Soja,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,kiwi,Kiwi,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Kiwi,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,la,Lã,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Lã,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,lagosta,Lagosta,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Lagosta,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,lambreta,Lambreta,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Vôngole,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,lanolina,Lanolina,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Lanolina,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,laranja,Laranja,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Laranja,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,latao,Latão,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Latão,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,latex,Látex,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,laticinio,Laticínios,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Leite e seus derivados,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,leguminosa,Leguminosas,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Legumes,"Ervilhas, lentilhas e feijão",,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,lima,Lima,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Lima,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,limao,Limão,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Limão,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,lula,Lula,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Lula,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,maca,Maçã,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Maçã,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,madeira,Madeira,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Madeira,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,manga,Manga,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Manga,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,manteiga-cacau,Manteiga de cacau,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Manteiga de cacau,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,marisco,Marisco,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Moluscos,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,material-dentario-policarboneto,Material dentário em policarboneto,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Material dentário em policarboneto,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,material-sutura,Material de sutura,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Material de sutura,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,melancia,Melancia,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Melancia,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,melao,Melão,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Melão,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,mexilhao,Mexilhão,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Mexilhão,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,milho,Milho,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,mirtilo,Mirtilos,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Blueberries,,,,,,,,,,,food,,,,,,,Fully Specified,por
